# Step   Epot       Ekin       Total      Temp   Pressure(GPa)  Volume(Å³)  
0.0      -437.854802 0.103408   -437.751394 100.00 -0.005754      1728.0000   
1.0      -437.859903 0.116070   -437.743833 112.24 -0.032754      1728.0000   
2.0      -437.963057 0.184559   -437.778498 178.48 -0.067585      1728.0000   
3.0      -438.079299 0.185228   -437.894071 179.12 -0.096133      1728.0000   
4.0      -438.158420 0.192239   -437.966181 185.90 -0.091413      1728.0000   
5.0      -438.209678 0.142428   -438.067250 137.73 -0.049299      1728.0000   
6.0      -438.251331 0.169792   -438.081539 164.20 0.014803       1728.0000   
7.0      -438.278700 0.149414   -438.129285 144.49 0.040328       1728.0000   
8.0      -438.290834 0.141275   -438.149559 136.62 0.056803       1728.0000   
9.0      -438.297954 0.082912   -438.215041 80.18  0.049302       1728.0000   
10.0     -438.310040 0.123787   -438.186253 119.71 0.027017       1728.0000   
11.0     -438.311911 0.134325   -438.177586 129.90 -0.023124      1728.0000   
12.0     -438.310136 0.083787   -438.226350 81.03  -0.063046      1728.0000   
13.0     -438.315675 0.118660   -438.197015 114.75 -0.076952      1728.0000   
14.0     -438.310049 0.105742   -438.204307 102.26 -0.066969      1728.0000   
15.0     -438.299589 0.070582   -438.229007 68.26  -0.021658      1728.0000   
16.0     -438.290639 0.100820   -438.189820 97.50  0.026494       1728.0000   
17.0     -438.274620 0.113582   -438.161037 109.84 0.058556       1728.0000   
18.0     -438.254409 0.081273   -438.173136 78.59  0.062675       1728.0000   
19.0     -438.248871 0.117437   -438.131434 113.57 0.039896       1728.0000   
20.0     -438.255417 0.118260   -438.137157 114.36 -0.033624      1728.0000   
21.0     -438.267617 0.103744   -438.163874 100.32 -0.062598      1728.0000   
22.0     -438.292899 0.177535   -438.115364 171.68 -0.065029      1728.0000   
23.0     -438.315890 0.167438   -438.148452 161.92 -0.040549      1728.0000   
24.0     -438.328314 0.129873   -438.198441 125.59 0.004243       1728.0000   
25.0     -438.332076 0.147795   -438.184280 142.92 0.046972       1728.0000   
26.0     -438.328698 0.114956   -438.213743 111.17 0.071941       1728.0000   
27.0     -438.324762 0.118276   -438.206487 114.38 0.059943       1728.0000   
28.0     -438.336447 0.143824   -438.192623 139.08 0.013482       1728.0000   
29.0     -438.332260 0.091337   -438.240923 88.33  -0.036308      1728.0000   
30.0     -438.323795 0.134979   -438.188816 130.53 -0.064326      1728.0000   
31.0     -438.340495 0.177524   -438.162971 171.67 -0.046498      1728.0000   
32.0     -438.360776 0.133702   -438.227074 129.30 -0.010710      1728.0000   
33.0     -438.366891 0.135764   -438.231128 131.29 0.028499       1728.0000   
34.0     -438.350847 0.117814   -438.233033 113.93 0.041358       1728.0000   
35.0     -438.345158 0.079417   -438.265741 76.80  0.006451       1728.0000   
36.0     -438.350705 0.116972   -438.233733 113.12 -0.060737      1728.0000   
37.0     -438.341890 0.119523   -438.222367 115.58 -0.106643      1728.0000   
38.0     -438.335211 0.114806   -438.220406 111.02 -0.117468      1728.0000   
39.0     -438.333518 0.120736   -438.212782 116.76 -0.097783      1728.0000   
40.0     -438.336779 0.109875   -438.226904 106.25 -0.056704      1728.0000   
41.0     -438.333065 0.116156   -438.216909 112.33 -0.013104      1728.0000   
42.0     -438.312659 0.116742   -438.195917 112.89 0.008962       1728.0000   
43.0     -438.293819 0.098780   -438.195038 95.52  0.014491       1728.0000   
44.0     -438.273772 0.117435   -438.156336 113.56 0.033557       1728.0000   
45.0     -438.259667 0.143203   -438.116464 138.48 0.039816       1728.0000   
46.0     -438.283538 0.137005   -438.146533 132.49 0.011979       1728.0000   
47.0     -438.310627 0.124038   -438.186589 119.95 -0.011878      1728.0000   
48.0     -438.323267 0.137219   -438.186048 132.70 -0.035310      1728.0000   
49.0     -438.332658 0.198002   -438.134656 191.48 -0.057182      1728.0000   
50.0     -438.332202 0.131054   -438.201148 126.74 -0.061845      1728.0000   
51.0     -438.318502 0.102692   -438.215809 99.31  -0.043690      1728.0000   
52.0     -438.302881 0.137474   -438.165407 132.94 -0.044748      1728.0000   
53.0     -438.295588 0.186270   -438.109318 180.13 -0.027604      1728.0000   
54.0     -438.302910 0.201126   -438.101784 194.50 -0.023102      1728.0000   
55.0     -438.316464 0.169217   -438.147247 163.64 -0.016364      1728.0000   
56.0     -438.314228 0.143377   -438.170851 138.65 -0.000747      1728.0000   
57.0     -438.287308 0.146971   -438.140337 142.13 0.005781       1728.0000   
58.0     -438.279330 0.144792   -438.134538 140.02 0.009849       1728.0000   
59.0     -438.271701 0.172981   -438.098720 167.28 0.046413       1728.0000   
60.0     -438.257862 0.145950   -438.111912 141.14 0.055209       1728.0000   
61.0     -438.297151 0.182469   -438.114682 176.46 0.027407       1728.0000   
62.0     -438.323786 0.153364   -438.170423 148.31 0.013304       1728.0000   
63.0     -438.320506 0.113863   -438.206643 110.11 0.005034       1728.0000   
64.0     -438.311449 0.121900   -438.189548 117.88 -0.039390      1728.0000   
65.0     -438.313277 0.134634   -438.178643 130.20 -0.084197      1728.0000   
66.0     -438.338989 0.187534   -438.151455 181.35 -0.088941      1728.0000   
67.0     -438.346482 0.134604   -438.211878 130.17 -0.051850      1728.0000   
68.0     -438.333945 0.233828   -438.100118 226.12 0.018468       1728.0000   
69.0     -438.310519 0.144940   -438.165580 140.16 0.071368       1728.0000   
70.0     -438.316725 0.197656   -438.119069 191.14 0.103958       1728.0000   
71.0     -438.333649 0.240826   -438.092823 232.89 0.089998       1728.0000   
72.0     -438.335734 0.129705   -438.206029 125.43 0.066082       1728.0000   
73.0     -438.338848 0.172678   -438.166170 166.99 0.038779       1728.0000   
74.0     -438.362636 0.286964   -438.075672 277.51 -0.018552      1728.0000   
75.0     -438.364962 0.158755   -438.206207 153.52 -0.070847      1728.0000   
76.0     -438.369190 0.218224   -438.150965 211.03 -0.100636      1728.0000   
77.0     -438.365103 0.183682   -438.181422 177.63 -0.099805      1728.0000   
78.0     -438.373858 0.171516   -438.202341 165.86 -0.070075      1728.0000   
79.0     -438.375835 0.156862   -438.218973 151.69 -0.036338      1728.0000   
80.0     -438.353937 0.138877   -438.215060 134.30 -0.000042      1728.0000   
81.0     -438.333181 0.125652   -438.207529 121.51 0.036915       1728.0000   
82.0     -438.339531 0.228285   -438.111247 220.76 0.051567       1728.0000   
