# RMSD Filtering Log
# Generated: 2026-04-18 01:50:44
# RMSD Threshold: 0.050 Å
# Exclude Hydrogen: True
#
# Status   Serial   Frame    MaxFDev      MinRMSD      Action         
#================================================================================
ACCEPT         1       1      0.1024       0.377  Selected
SKIP         ---       7      0.1777       0.049  RMSD < 0.050
ACCEPT         2      53      0.1130       0.099  Selected
SKIP         ---      88      0.1115       0.024  RMSD < 0.050
SKIP         ---      91      0.1003       0.003  RMSD < 0.050
SKIP         ---     103      0.1035       0.022  RMSD < 0.050
ACCEPT         3     112      0.1195       0.060  Selected
SKIP         ---     116      0.1039       0.008  RMSD < 0.050
SKIP         ---     128      0.1076       0.020  RMSD < 0.050
SKIP         ---     131      0.1173       0.049  RMSD < 0.050
SKIP         ---     161      0.1233       0.033  RMSD < 0.050
SKIP         ---     164      0.1832       0.003  RMSD < 0.050
SKIP         ---     171      0.1006       0.020  RMSD < 0.050
SKIP         ---     179      0.1099       0.005  RMSD < 0.050
SKIP         ---     180      0.1424       0.004  RMSD < 0.050
SKIP         ---     189      0.1519       0.004  RMSD < 0.050
SKIP         ---     211      0.1522       0.032  RMSD < 0.050
SKIP         ---     214      0.1027       0.016  RMSD < 0.050
SKIP         ---     244      0.1072       0.031  RMSD < 0.050
SKIP         ---     252      0.1199       0.009  RMSD < 0.050
