# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      5.41e+01    3.82e+01      4.61e-01    5.96e-01      1.71e+00    1.21e+00    1.0e-03
   1000      6.61e+00    6.50e+00      4.21e-01    3.94e-01      2.09e-01    2.05e-01    1.0e-03
   2000      5.58e+00    3.82e+00      1.28e-02    1.46e-02      1.76e-01    1.21e-01    1.0e-03
   3000      3.74e+00    3.72e+00      9.46e-02    8.92e-02      1.18e-01    1.18e-01    1.0e-03
   4000      4.27e+00    3.21e+00      5.43e-02    5.59e-02      1.35e-01    1.01e-01    1.0e-03
   5000      3.98e+00    3.18e+00      2.69e-02    1.91e-02      1.26e-01    1.01e-01    1.0e-03
   6000      2.37e+00    2.08e+00      8.27e-03    4.48e-03      9.69e-02    8.49e-02    6.0e-04
   7000      1.88e+00    1.79e+00      2.24e-02    2.06e-02      7.67e-02    7.30e-02    6.0e-04
   8000      2.18e+00    1.78e+00      2.60e-02    2.17e-02      8.91e-02    7.25e-02    6.0e-04
   9000      1.78e+00    1.88e+00      3.84e-03    6.03e-03      7.27e-02    7.68e-02    6.0e-04
  10000      2.05e+00    1.67e+00      8.10e-03    1.58e-02      8.36e-02    6.82e-02    6.0e-04
  11000      1.06e+00    1.16e+00      1.16e-02    1.24e-02      5.60e-02    6.09e-02    3.6e-04
  12000      1.31e+00    8.95e-01      1.59e-02    1.54e-02      6.89e-02    4.72e-02    3.6e-04
  13000      1.06e+00    1.26e+00      4.86e-03    3.02e-03      5.60e-02    6.65e-02    3.6e-04
  14000      1.23e+00    9.68e-01      1.07e-02    8.68e-03      6.48e-02    5.10e-02    3.6e-04
  15000      9.25e-01    1.12e+00      1.53e-03    3.42e-03      4.88e-02    5.90e-02    3.6e-04
  16000      6.85e-01    5.39e-01      7.37e-03    6.38e-03      4.67e-02    3.67e-02    2.1e-04
  17000      7.37e-01    5.26e-01      4.54e-03    1.99e-03      5.02e-02    3.58e-02    2.1e-04
  18000      5.94e-01    6.99e-01      9.92e-03    7.42e-03      4.04e-02    4.76e-02    2.1e-04
  19000      7.00e-01    6.23e-01      8.88e-03    9.36e-03      4.76e-02    4.24e-02    2.1e-04
  20000      6.38e-01    7.41e-01      1.05e-02    1.15e-02      4.34e-02    5.04e-02    2.1e-04
  21000      4.76e-01    4.53e-01      2.30e-03    4.58e-03      4.18e-02    3.98e-02    1.3e-04
  22000      5.52e-01    4.57e-01      2.80e-03    1.47e-03      4.86e-02    4.02e-02    1.3e-04
  23000      4.99e-01    4.60e-01      3.66e-03    1.92e-03      4.38e-02    4.05e-02    1.3e-04
  24000      5.02e-01    3.79e-01      6.57e-03    3.21e-03      4.41e-02    3.33e-02    1.3e-04
